image_id,file_name,distortion,severity,snr_db,var,amount,ksize,angle
83531,000000083531.jpg,gauss_noise,low,19.3269,122.84,,,
84031,000000084031.jpg,gauss_noise,low,16.9609,284.34,,,
84431,000000084431.jpg,gauss_noise,low,22.4656,103.23,,,
84650,000000084650.jpg,gauss_noise,low,10.3408,280.49,,,
84664,000000084664.jpg,gauss_noise,low,20.6242,157.46,,,
85089,000000085089.jpg,gauss_noise,low,21.3104,147.19,,,
85576,000000085576.jpg,gauss_noise,low,20.5723,176.98,,,
85665,000000085665.jpg,gauss_noise,low,27.0009,176.6,,,
85772,000000085772.jpg,gauss_noise,low,16.4459,242.51,,,
85823,000000085823.jpg,gauss_noise,low,22.7066,109.23,,,
85911,000000085911.jpg,gauss_noise,low,19.9467,239.57,,,
86582,000000086582.jpg,gauss_noise,low,20.0477,132.93,,,
86956,000000086956.jpg,gauss_noise,low,18.5203,137.93,,,
87476,000000087476.jpg,gauss_noise,low,15.4892,216.55,,,
88462,000000088462.jpg,gauss_noise,low,20.5779,142.74,,,
89078,000000089078.jpg,gauss_noise,low,21.6028,187.68,,,
89697,000000089697.jpg,gauss_noise,low,21.2158,129.28,,,
89761,000000089761.jpg,gauss_noise,low,15.6651,297.35,,,
89880,000000089880.jpg,gauss_noise,low,17.3499,158.8,,,
90108,000000090108.jpg,gauss_noise,low,18.9109,217.85,,,
90155,000000090155.jpg,gauss_noise,low,21.3323,223.37,,,
90208,000000090208.jpg,gauss_noise,low,18.535,249.73,,,
90631,000000090631.jpg,gauss_noise,low,22.2283,159.24,,,
91615,000000091615.jpg,gauss_noise,low,20.8804,162.97,,,
91654,000000091654.jpg,gauss_noise,low,20.2837,199.14,,,
91921,000000091921.jpg,gauss_noise,low,17.7543,226.61,,,
92053,000000092053.jpg,gauss_noise,low,13.8451,197.99,,,
92124,000000092124.jpg,gauss_noise,low,23.302,165.31,,,
93261,000000093261.jpg,gauss_noise,low,20.6543,199.87,,,
93437,000000093437.jpg,gauss_noise,low,17.4765,267.84,,,
93965,000000093965.jpg,gauss_noise,low,15.8538,274.81,,,
94157,000000094157.jpg,gauss_noise,low,21.3195,218.24,,,
94751,000000094751.jpg,gauss_noise,low,21.494,157.72,,,
94871,000000094871.jpg,gauss_noise,low,21.5078,128.76,,,
95786,000000095786.jpg,gauss_noise,low,18.8216,260.08,,,
95899,000000095899.jpg,gauss_noise,low,20.2208,253.88,,,
96001,000000096001.jpg,gauss_noise,low,21.7743,179.43,,,
97022,000000097022.jpg,gauss_noise,low,18.8142,202.94,,,
99054,000000099054.jpg,gauss_noise,low,22.3167,100.63,,,
100274,000000100274.jpg,gauss_noise,low,18.6312,283.89,,,
100489,000000100489.jpg,gauss_noise,low,22.6128,157.13,,,
100510,000000100510.jpg,gauss_noise,low,16.8382,282.27,,,
100582,000000100582.jpg,gauss_noise,low,20.9042,166.49,,,
101068,000000101068.jpg,gauss_noise,low,18.7624,272.59,,,
101762,000000101762.jpg,gauss_noise,low,20.3062,154.52,,,
102707,000000102707.jpg,gauss_noise,low,21.8331,123.49,,,
102805,000000102805.jpg,gauss_noise,low,19.2074,235.71,,,
102820,000000102820.jpg,gauss_noise,low,19.5104,197.92,,,
104572,000000104572.jpg,gauss_noise,low,19.5429,203.86,,,
104603,000000104603.jpg,gauss_noise,low,18.5346,204.95,,,
104619,000000104619.jpg,gauss_noise,low,21.0011,212.54,,,
104669,000000104669.jpg,gauss_noise,low,21.3334,133.89,,,
105014,000000105014.jpg,gauss_noise,low,24.0002,127.09,,,
105249,000000105249.jpg,gauss_noise,low,20.7111,183.54,,,
105335,000000105335.jpg,gauss_noise,low,18.1598,281.85,,,
105923,000000105923.jpg,gauss_noise,low,17.8559,277.69,,,
106389,000000106389.jpg,gauss_noise,low,20.9362,156.54,,,
106757,000000106757.jpg,gauss_noise,low,18.3385,220.71,,,
106881,000000106881.jpg,gauss_noise,low,18.2635,226.65,,,
106912,000000106912.jpg,gauss_noise,low,19.3957,298.84,,,
107226,000000107226.jpg,gauss_noise,low,19.4893,200.58,,,
107554,000000107554.jpg,gauss_noise,low,18.7067,206.51,,,
108495,000000108495.jpg,gauss_noise,low,20.9185,150.37,,,
108864,000000108864.jpg,gauss_noise,low,21.6842,209.66,,,
109055,000000109055.jpg,gauss_noise,low,17.6854,283.59,,,
109118,000000109118.jpg,gauss_noise,low,16.6485,297.84,,,
109313,000000109313.jpg,gauss_noise,low,20.1628,222.19,,,
109916,000000109916.jpg,gauss_noise,low,18.2369,246.11,,,
110359,000000110359.jpg,gauss_noise,low,22.0166,151.64,,,
110638,000000110638.jpg,gauss_noise,low,21.2471,156.78,,,
110999,000000110999.jpg,gauss_noise,low,10.8804,189.71,,,
111036,000000111036.jpg,gauss_noise,low,13.9355,299.18,,,
111086,000000111086.jpg,gauss_noise,low,19.1445,295.84,,,
111207,000000111207.jpg,gauss_noise,low,18.593,151.47,,,
111609,000000111609.jpg,gauss_noise,low,19.5255,190.15,,,
111951,000000111951.jpg,gauss_noise,low,21.7358,162.88,,,
112110,000000112110.jpg,gauss_noise,low,15.5069,217.03,,,
112298,000000112298.jpg,gauss_noise,low,20.4916,156.61,,,
112798,000000112798.jpg,gauss_noise,low,18.6686,263.15,,,
113354,000000113354.jpg,gauss_noise,low,19.5418,164.89,,,
113720,000000113720.jpg,gauss_noise,low,17.4759,299.25,,,
114049,000000114049.jpg,gauss_noise,low,16.4796,272.18,,,
115245,000000115245.jpg,gauss_noise,low,22.5842,119.17,,,
115870,000000115870.jpg,gauss_noise,low,18.9092,191.54,,,
116068,000000116068.jpg,gauss_noise,low,19.7005,298.86,,,
116206,000000116206.jpg,gauss_noise,low,18.7789,178.99,,,
116362,000000116362.jpg,gauss_noise,low,21.8833,154.45,,,
116589,000000116589.jpg,gauss_noise,low,19.9355,147.49,,,
117645,000000117645.jpg,gauss_noise,low,20.535,162.94,,,
117908,000000117908.jpg,gauss_noise,low,17.6114,287.47,,,
118515,000000118515.jpg,gauss_noise,low,20.3112,173.36,,,
118594,000000118594.jpg,gauss_noise,low,19.2071,246.24,,,
119038,000000119038.jpg,gauss_noise,low,19.2901,232.98,,,
119233,000000119233.jpg,gauss_noise,low,16.5746,245.3,,,
119452,000000119452.jpg,gauss_noise,low,18.7859,252.48,,,
119516,000000119516.jpg,gauss_noise,low,14.331,159.65,,,
119828,000000119828.jpg,gauss_noise,low,20.4989,132.83,,,
119911,000000119911.jpg,gauss_noise,low,21.646,139.74,,,
119995,000000119995.jpg,gauss_noise,low,20.7333,296.24,,,
120420,000000120420.jpg,gauss_noise,low,20.5012,151.99,,,
120853,000000120853.jpg,gauss_noise,low,18.7847,213.55,,,
122166,000000122166.jpg,gauss_noise,low,23.6852,137.52,,,
122606,000000122606.jpg,gauss_noise,low,22.5904,106.23,,,
122962,000000122962.jpg,gauss_noise,low,18.177,181.98,,,
122969,000000122969.jpg,gauss_noise,low,17.6003,173.29,,,
123480,000000123480.jpg,gauss_noise,low,19.4384,215.1,,,
124975,000000124975.jpg,gauss_noise,low,20.4529,178.49,,,
125062,000000125062.jpg,gauss_noise,low,21.1143,151.59,,,
125072,000000125072.jpg,gauss_noise,low,20.7935,286.43,,,
125211,000000125211.jpg,gauss_noise,low,20.6977,253.32,,,
125778,000000125778.jpg,gauss_noise,low,16.9027,299.08,,,
125806,000000125806.jpg,gauss_noise,low,19.5852,174.72,,,
126226,000000126226.jpg,gauss_noise,low,19.3866,228.97,,,
127182,000000127182.jpg,gauss_noise,low,19.0811,193.82,,,
127394,000000127394.jpg,gauss_noise,low,17.8008,216.17,,,
127494,000000127494.jpg,gauss_noise,low,19.2268,175.1,,,
127624,000000127624.jpg,gauss_noise,low,19.9526,166.64,,,
127987,000000127987.jpg,gauss_noise,low,22.8092,137.13,,,
